Company_Name,Ticker,Listed_Date,Listing_Year,Exchange,Current_Price,Listing_Gain_Pct,Overall_Gain_Pct,Performance_Status
East West Freight Carriers Limited,EASTWEST.NS,2026-08-17,2026,NSE Main Board,2.32,,,🟢 Trading Active
Eco Recycling Limited,ECORECO.NS,2026-08-17,2026,NSE Main Board,467.75,,,🟢 Trading Active
Elantas Beck India Limited,ELANTAS.NS,2026-04-20,2026,NSE Main Board,11701.5,,,🟢 Trading Active
Elitecon International Limited,ELITECON.NS,2026-04-20,2026,NSE Main Board,17.13,,,🟢 Trading Active
Elpro International Limited,ELPROINTL.NS,2026-04-20,2026,NSE Main Board,175.58,,,🟢 Trading Active
Empire Industries Limited,EMPIND.NS,2026-08-17,2026,NSE Main Board,1116.2,,,🟢 Trading Active
Empower India Limited,EMPOWER.NS,2026-04-20,2026,NSE Main Board,2.22,,,🟢 Trading Active
Enkei Wheels (India) Limited,ENKEIWHEL.NS,2026-08-17,2026,NSE Main Board,408.9,,,🟢 Trading Active
Fedders Holding Limited,FEDDERSHOL.NS,2026-04-20,2026,NSE Main Board,41.0,,,🟢 Trading Active
Fermenta Biotech Limited,FERMENTA.NS,2026-08-04,2026,NSE Main Board,454.2,,,🟢 Trading Active
Fractal Analytics Limited,FRACTAL.NS,2026-02-16,2026,NSE Main Board,825.5,,,🟢 Trading Active
Fredun Pharmaceuticals Limited,FREDUN.NS,2026-08-17,2026,NSE Main Board,1436.7,,,🟢 Trading Active
Frontier Springs Limited,FRONTSP.NS,2026-04-20,2026,NSE Main Board,1284.7,,,🟢 Trading Active
GKB Ophthalmics Limited,GKB.NS,2026-08-17,2026,NSE Main Board,63.03,,,🟢 Trading Active
GSP Crop Science Limited,GSPCROP.NS,2026-03-24,2026,NSE Main Board,590.9,,,🟢 Trading Active
Gaudium IVF and Women Health Limited,GAUDIUMIVF.NS,2026-02-27,2026,NSE Main Board,118.36,,,🟢 Trading Active
Genesys International Corporation Limited-RE,GENESYS-RE.NS,2026-08-14,2026,NSE Main Board,123.6,,,🟢 Trading Active
Globe International Carriers Limited,GICL.NS,2026-02-18,2026,NSE Main Board,23.68,,,🟢 Trading Active
Goodyear India Limited,GOODYEAR.NS,2026-04-20,2026,NSE Main Board,763.5,,,🟢 Trading Active
Gradiente Infotainment Limited,GRADIENTE.NS,2026-05-08,2026,NSE Main Board,2.8,,,🟢 Trading Active
Grand Oak Canyons Distillery Limited,GRANDOAK.NS,2026-04-20,2026,NSE Main Board,39.55,,,🟢 Trading Active
Grauer & Weil India Limited,GRAUWEIL.NS,2026-04-20,2026,NSE Main Board,66.43,,,🟢 Trading Active
Graviss Hospitality Limited,GRAVISSHO.NS,2026-04-20,2026,NSE Main Board,28.86,,,🟢 Trading Active
Gujarat Natural Resources Limited,GNRL.NS,2026-04-20,2026,NSE Main Board,104.34,,,🟢 Trading Active
Gyftr Limited,GYFTR.NS,2026-07-10,2026,NSE Main Board,157.94,,,🟢 Trading Active
HB Estate Developers Limited,HBESD.NS,2026-04-20,2026,NSE Main Board,75.0,,,🟢 Trading Active
HB Portfolio Limited,HBPOR.NS,2026-08-17,2026,NSE Main Board,60.94,,,🟢 Trading Active
Halder Venture Limited,HALDER.NS,2026-01-19,2026,NSE Main Board,290.66,,,🟢 Trading Active
Haldyn Glass Limited,HALDYNGL.NS,2026-04-20,2026,NSE Main Board,127.0,,,🟢 Trading Active
Hampton Sky Realty Limited,HAMPTON.NS,2026-08-17,2026,NSE Main Board,8.12,,,🟢 Trading Active
Hariyana Ship Breakers Limited,HRYNSHP.NS,2026-08-17,2026,NSE Main Board,101.78,,,🟢 Trading Active
Hawkins Cookers Limited,HAWKINCOOK.NS,2026-04-20,2026,NSE Main Board,8235.0,,,🟢 Trading Active
Hazoor Multi Projects Limited,HAZOOR.NS,2026-08-17,2026,NSE Main Board,21.34,,,🟢 Trading Active
Hexagon Nutrition Limited,HEXAGON.NS,2026-06-12,2026,NSE Main Board,66.41,,,🟢 Trading Active
Hind Aluminium Industries Limited,HINDALUMI.NS,2026-08-17,2026,NSE Main Board,98.95,,,🟢 Trading Active
Hindustan Adhesives Limited,HINDADH.NS,2026-08-17,2026,NSE Main Board,385.45,,,🟢 Trading Active
I S T Limited,ISTLTD.NS,2026-08-17,2026,NSE Main Board,652.2,,,🟢 Trading Active
INDO-MIM Limited,INDOMIM.NS,2026-07-30,2026,NSE Main Board,952.75,,,🟢 Trading Active
IP Rings Limited,IPRINGLTD.NS,2026-08-17,2026,NSE Main Board,143.07,,,🟢 Trading Active
ITL Industries Limited,ITL.NS,2026-08-17,2026,NSE Main Board,320.05,,,🟢 Trading Active
Indokem Limited,INDOKEM.NS,2026-08-17,2026,NSE Main Board,585.5,,,🟢 Trading Active
Industrial & Prudential Investment Company Limited,INDPRUD.NS,2026-04-20,2026,NSE Main Board,6198.0,,,🟢 Trading Active
Innovision Limited,INNOVISION.NS,2026-03-23,2026,NSE Main Board,274.1,,,🟢 Trading Active
Insolation Energy Limited,INA.NS,2026-03-09,2026,NSE Main Board,94.86,,,🟢 Trading Active
Investment & Precision Castings Limited,INVPRECQ.NS,2026-04-20,2026,NSE Main Board,1256.5,,,🟢 Trading Active
Jenburkt Pharmaceuticals Limited,JENBURPH.NS,2026-08-17,2026,NSE Main Board,1047.3,,,🟢 Trading Active
John Cockerill India Limited,COCKERILL.NS,2026-04-20,2026,NSE Main Board,8361.5,,,🟢 Trading Active
Juniper Green Energy Limited,JNPR.NS,2026-08-06,2026,NSE Main Board,240.59,,,🟢 Trading Active
Jyoti Resins & Adhesives Limited,JYOTIRES.NS,2026-08-17,2026,NSE Main Board,859.85,,,🟢 Trading Active
